SeasRank,Season,HomeAgainst,HomeFor,For,Against,HomeResult,Result,AwayFor,AwayAgainst,AwayResult,PythagHome,PythagAway,Pythag
1.0,2009.5,3.7098765432098766,5.0703703703703695,5.094544130051377,3.8548194156889806,0.6425925925925926,0.6114945172916189,5.11866512345679,4.0,0.5803086419753087,0.651004308672783,0.6213116460419751,0.6359426559395321
2.0,2009.5,4.085185185185184,5.325308641975309,5.253395061728394,4.1574074074074066,0.6395061728395063,0.6046296296296295,5.181481481481482,4.229629629629629,0.5697530864197531,0.6283300335561022,0.5998984589668674,0.6150262718556506
3.0,2009.5,4.108458483890395,5.118138173742849,5.089049660744335,4.166554490956554,0.6284746687744656,0.5875433801747485,5.061260915386932,4.225094474555857,0.5466905676001204,0.6073581841139858,0.5893481616230342,0.5986263703797325
4.0,2009.5,4.057482685937971,5.0324525745257445,4.956294670936352,4.150109847046807,0.6155374887082204,0.5795128906803131,4.878719135802468,4.243171296296296,0.5432793209876543,0.6077912441018632,0.5669087570092818,0.5879317394924498
5.0,2009.5,4.045964506172838,4.812646604938271,4.7956211419753085,4.089822530864198,0.6041049382716048,0.5723032407407409,4.778595679012346,4.133680555555556,0.5405015432098764,0.5839482750907141,0.5727865440286237,0.5790534952447927
6.0,2009.5,4.1428113767776225,4.9325207063603695,4.893838734567901,4.2360802469135805,0.6112908266916705,0.5735146604938272,4.855555555555556,4.329012345679012,0.5358024691358023,0.5856115272837161,0.5567559086588861,0.5716930281069041
7.0,2009.5,3.9740665462210174,4.78564438422162,4.7015155246572515,4.130384998609857,0.6134673291177355,0.5670969518973432,4.616982271906052,4.285881323396567,0.5207397997591088,0.5914712919709462,0.5376137641525113,0.5642931415957236
8.0,2009.5,4.1671409214092145,4.816817223727794,4.789822388851019,4.258804817087026,0.6008280638361939,0.5615598727561917,4.762345679012346,4.350617283950617,0.5222222222222224,0.5703437571858269,0.5449058096571113,0.5585764316511009
9.0,2009.5,4.256928635953026,4.870476136705813,4.764004392940998,4.303690449140347,0.5956647094248722,0.5559910626372793,4.657454644685336,4.3502939626618495,0.5163136103583257,0.5660712623716481,0.5335204473046293,0.550618009896606
10.0,2009.5,4.261818729298403,4.801068955133996,4.758020904339922,4.351637885329091,0.5767916290274014,0.5418105733545405,4.714814814814815,4.4413580246913575,0.5067901234567901,0.5591508646073315,0.5288431654874046,0.5447970748621663
11.0,2009.5,4.2320987654321005,4.7098765432098775,4.696134477718456,4.351684929032222,0.582716049382716,0.5395121709116552,4.682281692261366,4.47129930743752,0.4962962962962962,0.5529514723499874,0.5237062982668779,0.5377891821621845
12.0,2009.5,4.4605555555555565,4.859891975308642,4.696302047389005,4.39874626178974,0.5590123456790124,0.5298136645962733,4.533371913580248,4.337253086419753,0.500625,0.5419206677923225,0.5208646210717037,0.5324502822475943
13.0,2009.5,4.371172839506173,4.733240740740742,4.665244229736983,4.4407944176060115,0.5478858024691358,0.5162084962809601,4.59753086419753,4.510493827160493,0.48456790123456794,0.5388731180802697,0.5087989925793462,0.5243329131108556
14.0,2009.5,4.390740740740741,4.739506172839506,4.587720593804439,4.425441187608877,0.5635802469135802,0.5198894190714232,4.436367058115025,4.460395965070762,0.4762119843420657,0.5376307003398276,0.496886380755304,0.517684764519079
15.0,2009.5,4.734159138813611,4.852446364046975,4.700262633233647,4.662263246683537,0.5371140093345378,0.5010850394908367,4.547800925925926,4.589675925925926,0.4651234567901235,0.5114013845037504,0.49605699649843205,0.5040532284826206
16.0,2009.5,4.340787037037036,4.434104938271605,4.420792117168928,4.439331723027375,0.5247376543209877,0.4939805229660303,4.40737165010539,4.537515996687745,0.4632407407407408,0.5089343172233832,0.48610801334554415,0.4980143354510237
17.0,2009.5,4.503648938572719,4.605026347485697,4.517199824715161,4.591333373790919,0.5478101475459198,0.49520561156108417,4.429585968081903,4.678546936163807,0.44263004366154773,0.5111382875788667,0.471072678153193,0.4916493471076747
18.0,2009.5,4.66812707015959,4.639819331526648,4.543501265240396,4.700097768576031,0.5389436540198735,0.48982056590752243,4.447761216501053,4.732061878952123,0.4407618187292985,0.49718151916755415,0.468638129772083,0.48302426708461266
19.0,2009.5,4.644552469135802,4.431597222222223,4.543539605858447,4.775072847174296,0.510493827160494,0.47669465531784383,4.65560825052695,4.90658687142427,0.4428861788617887,0.47828809207205836,0.47274007898005416,0.475260097950176
20.0,2009.5,4.454938271604939,4.365432098765432,4.298151982209953,4.592063492063493,0.5129629629629627,0.4652672341078139,4.230864197530864,4.729421296296296,0.4175308641975309,0.4882642598968485,0.4446597392295729,0.46704743373058044
21.0,2009.5,4.86318635200241,4.541758882866605,4.4511617207269385,4.844620811287479,0.5036959876543209,0.46541292845640675,4.36059413580247,4.826072530864197,0.42706790123456795,0.4664583593258551,0.44821853710330484,0.4577562644750068
22.0,2009.5,4.963364197530863,4.594760802469135,4.421491833448354,4.8799095161414,0.4817901234567902,0.4461333486695806,4.248088678109003,4.796033197831979,0.41051509334537795,0.45965553351418464,0.4396062029317129,0.45096851417557327
23.0,2009.5,4.752716049382717,4.373518518518518,4.3655260332796555,4.878408480944712,0.48823302469135815,0.44700176366843036,4.357461419753086,5.004266975308642,0.40576388888888887,0.4583119635888778,0.43164791732858576,0.44466727199188955
24.0,2009.5,4.937333822643782,4.516895325203252,4.339320220841961,4.954372747488691,0.4710025218307739,0.43192814968177284,4.162229938271606,4.971874999999999,0.3927854938271605,0.4544721580053868,0.4125838045869557,0.43458071800335735
25.0,2009.5,4.933896604938271,4.384961419753086,4.266967640518366,4.968253968253968,0.46073302469135813,0.4250843493597117,4.148765432098767,5.002469135802468,0.38950617283950617,0.44038227395627266,0.40840276916727064,0.4245912250856387
26.0,2009.5,5.046195987654321,4.362816358024692,4.24111072770493,5.0129150371904,0.4564043209876544,0.4237060041407868,4.118950617283951,4.9794830246913575,0.39097993827160493,0.4277560170553361,0.4065448585427462,0.4170275525029513
27.0,2009.5,4.823456790123457,4.173456790123456,4.186197377501726,5.033638141246838,0.46234567901234574,0.4226727244843187,4.199012345679012,5.244043209876542,0.3829938271604938,0.42828993260628734,0.3906577549914605,0.4089185443270621
28.0,2009.5,4.8608487654321,4.1769290123456795,4.06388313779618,4.963768115942029,0.44409722222222225,0.4045702016716509,3.9501035079795246,5.06663448509485,0.36502917043059313,0.4255268544148443,0.3779855602390662,0.400973685981793
29.0,2009.5,5.137854938271605,4.23162037037037,4.172481021394065,5.284483551874856,0.42741512345679017,0.3851027528563761,4.113112014453477,5.431540763324299,0.3427901987353207,0.40516330131113076,0.364253429388998,0.38355159741508765
30.0,2009.5,5.203233024691358,3.9804475308641982,3.9293727474886895,5.309930220075149,0.4134799382716049,0.3651234567901234,3.8782175925925926,5.416118827160494,0.31685956790123454,0.3702329679357719,0.34158823443671327,0.3540813122916691
