HomeID,HomeConf,HomeDiv,RoadID,RoadConf,RoadDiv
WestSouthwest4,West,Southwest,EastCentral5,East,Central
WestPacific4,West,Pacific,EastAtlantic5,East,Atlantic
WestSouthwest2,West,Southwest,EastSoutheast2,East,Southeast
EastSoutheast1,East,Southeast,EastCentral3,East,Central
EastAtlantic1,East,Atlantic,EastAtlantic3,East,Atlantic
EastCentral2,East,Central,WestPacific3,West,Pacific
WestNorthwest2,West,Northwest,WestPacific5,West,Pacific
WestPacific1,West,Pacific,WestSouthwest1,West,Southwest
EastSoutheast2,East,Southeast,EastSoutheast3,East,Southeast
EastCentral4,East,Central,EastCentral3,East,Central
EastSoutheast4,East,Southeast,WestNorthwest4,West,Northwest
EastAtlantic4,East,Atlantic,WestNorthwest3,West,Northwest
EastSoutheast5,East,Southeast,WestPacific2,West,Pacific
EastAtlantic2,East,Atlantic,WestNorthwest5,West,Northwest
EastAtlantic5,East,Atlantic,EastAtlantic1,East,Atlantic
WestSouthwest3,West,Southwest,EastSoutheast1,East,Southeast
EastCentral5,East,Central,EastCentral1,East,Central
WestNorthwest1,West,Northwest,WestSouthwest4,West,Southwest
WestSouthwest2,West,Southwest,WestSouthwest5,West,Southwest
EastSoutheast2,East,Southeast,WestNorthwest4,West,Northwest
EastCentral2,East,Central,WestNorthwest5,West,Northwest
EastAtlantic3,East,Atlantic,WestNorthwest3,West,Northwest
WestSouthwest2,West,Southwest,EastCentral5,East,Central
EastSoutheast3,East,Southeast,WestPacific2,West,Pacific
WestNorthwest2,West,Northwest,WestPacific4,West,Pacific
WestSouthwest5,West,Southwest,WestSouthwest1,West,Southwest
WestSouthwest3,West,Southwest,EastAtlantic2,East,Atlantic
EastAtlantic5,East,Atlantic,WestPacific5,West,Pacific
EastCentral3,East,Central,EastSoutheast4,East,Southeast
EastAtlantic1,East,Atlantic,EastCentral4,East,Central
EastSoutheast5,East,Southeast,EastCentral2,East,Central
EastSoutheast2,East,Southeast,EastAtlantic3,East,Atlantic
EastCentral4,East,Central,EastAtlantic2,East,Atlantic
EastSoutheast1,East,Southeast,EastSoutheast3,East,Southeast
EastCentral1,East,Central,EastAtlantic4,East,Atlantic
WestSouthwest2,West,Southwest,WestNorthwest5,West,Northwest
WestNorthwest2,West,Northwest,WestNorthwest4,West,Northwest
WestNorthwest3,West,Northwest,WestNorthwest1,West,Northwest
WestSouthwest1,West,Southwest,WestPacific4,West,Pacific
WestSouthwest5,West,Southwest,WestPacific2,West,Pacific
WestPacific3,West,Pacific,WestPacific1,West,Pacific
EastAtlantic4,East,Atlantic,WestPacific5,West,Pacific
EastSoutheast5,East,Southeast,WestSouthwest4,West,Southwest
EastCentral5,East,Central,EastCentral2,East,Central
EastSoutheast2,East,Southeast,EastAtlantic5,East,Atlantic
EastSoutheast1,East,Southeast,EastCentral4,East,Central
EastAtlantic2,East,Atlantic,EastSoutheast3,East,Southeast
EastAtlantic1,East,Atlantic,WestPacific5,West,Pacific
EastCentral1,East,Central,EastSoutheast4,East,Southeast
WestSouthwest2,West,Southwest,WestPacific3,West,Pacific
WestNorthwest3,West,Northwest,WestNorthwest5,West,Northwest
WestSouthwest1,West,Southwest,EastCentral3,East,Central
WestNorthwest1,West,Northwest,WestNorthwest2,West,Northwest
WestNorthwest4,West,Northwest,WestSouthwest5,West,Southwest
WestPacific1,West,Pacific,WestSouthwest3,West,Southwest
WestPacific2,West,Pacific,WestPacific4,West,Pacific
EastCentral2,East,Central,EastCentral1,East,Central
EastAtlantic4,East,Atlantic,EastAtlantic5,East,Atlantic
EastAtlantic3,East,Atlantic,EastAtlantic2,East,Atlantic
WestPacific4,West,Pacific,WestSouthwest3,West,Southwest
WestNorthwest5,West,Northwest,WestSouthwest5,West,Southwest
EastCentral3,East,Central,EastAtlantic3,East,Atlantic
EastSoutheast4,East,Southeast,WestSouthwest4,West,Southwest
EastAtlantic1,East,Atlantic,EastSoutheast5,East,Southeast
WestSouthwest2,West,Southwest,WestPacific2,West,Pacific
EastSoutheast3,East,Southeast,WestSouthwest1,West,Southwest
EastCentral5,East,Central,EastSoutheast2,East,Southeast
WestNorthwest3,West,Northwest,EastSoutheast1,East,Southeast
WestNorthwest4,West,Northwest,WestNorthwest1,West,Northwest
WestPacific1,West,Pacific,WestPacific3,West,Pacific
EastAtlantic5,East,Atlantic,EastAtlantic4,East,Atlantic
EastSoutheast2,East,Southeast,EastCentral5,East,Central
EastCentral4,East,Central,EastAtlantic1,East,Atlantic
EastSoutheast5,East,Southeast,EastSoutheast4,East,Southeast
EastSoutheast1,East,Southeast,WestSouthwest1,West,Southwest
EastAtlantic2,East,Atlantic,EastCentral1,East,Central
WestSouthwest3,West,Southwest,WestPacific2,West,Pacific
EastSoutheast3,East,Southeast,WestSouthwest4,West,Southwest
WestNorthwest5,West,Northwest,WestNorthwest3,West,Northwest
WestPacific1,West,Pacific,WestNorthwest1,West,Northwest
WestPacific4,West,Pacific,WestNorthwest2,West,Northwest
WestPacific3,West,Pacific,WestNorthwest4,West,Northwest
WestPacific5,West,Pacific,WestSouthwest5,West,Southwest
WestPacific1,West,Pacific,EastCentral2,East,Central
EastAtlantic2,East,Atlantic,EastSoutheast5,East,Southeast
WestNorthwest3,West,Northwest,WestSouthwest2,West,Southwest
EastAtlantic3,East,Atlantic,EastAtlantic4,East,Atlantic
WestPacific3,West,Pacific,WestNorthwest2,West,Northwest
WestSouthwest1,West,Southwest,EastAtlantic5,East,Atlantic
EastCentral3,East,Central,EastCentral4,East,Central
EastSoutheast3,East,Southeast,EastSoutheast4,East,Southeast
EastCentral5,East,Central,EastCentral1,East,Central
WestSouthwest5,West,Southwest,EastAtlantic1,East,Atlantic
WestNorthwest1,West,Northwest,WestNorthwest5,West,Northwest
WestPacific4,West,Pacific,WestSouthwest3,West,Southwest
WestPacific2,West,Pacific,WestPacific5,West,Pacific
EastSoutheast2,East,Southeast,EastAtlantic2,East,Atlantic
EastCentral4,East,Central,WestSouthwest1,West,Southwest
EastSoutheast1,East,Southeast,EastSoutheast5,East,Southeast
EastCentral1,East,Central,EastAtlantic3,East,Atlantic
WestNorthwest2,West,Northwest,WestNorthwest1,West,Northwest
WestSouthwest4,West,Southwest,EastAtlantic1,East,Atlantic
WestNorthwest3,West,Northwest,EastAtlantic5,East,Atlantic
WestPacific5,West,Pacific,EastCentral2,East,Central
WestPacific1,West,Pacific,WestNorthwest5,West,Northwest
WestPacific3,West,Pacific,WestSouthwest3,West,Southwest
EastSoutheast4,East,Southeast,EastCentral3,East,Central
EastAtlantic2,East,Atlantic,WestSouthwest2,West,Southwest
EastCentral5,East,Central,WestNorthwest2,West,Northwest
WestSouthwest5,West,Southwest,EastAtlantic3,East,Atlantic
WestNorthwest4,West,Northwest,EastAtlantic4,East,Atlantic
EastSoutheast5,East,Southeast,WestSouthwest2,West,Southwest
EastAtlantic5,East,Atlantic,EastSoutheast1,East,Southeast
EastCentral1,East,Central,EastCentral4,East,Central
EastSoutheast3,East,Southeast,EastAtlantic1,East,Atlantic
WestSouthwest4,West,Southwest,WestSouthwest1,West,Southwest
WestNorthwest3,West,Northwest,EastCentral5,East,Central
WestPacific5,West,Pacific,WestPacific4,West,Pacific
WestPacific1,West,Pacific,EastSoutheast2,East,Southeast
WestPacific3,West,Pacific,WestPacific2,West,Pacific
EastCentral3,East,Central,WestSouthwest5,West,Southwest
WestSouthwest4,West,Southwest,EastAtlantic3,East,Atlantic
EastSoutheast4,East,Southeast,EastSoutheast3,East,Southeast
EastSoutheast1,East,Southeast,WestNorthwest4,West,Northwest
WestNorthwest5,West,Northwest,EastCentral2,East,Central
WestPacific1,West,Pacific,WestSouthwest3,West,Southwest
WestNorthwest1,West,Northwest,EastAtlantic4,East,Atlantic
EastSoutheast5,East,Southeast,EastCentral1,East,Central
EastCentral4,East,Central,WestNorthwest2,West,Northwest
EastAtlantic2,East,Atlantic,EastAtlantic1,East,Atlantic
WestSouthwest2,West,Southwest,WestPacific3,West,Pacific
WestPacific2,West,Pacific,EastSoutheast2,East,Southeast
WestNorthwest3,West,Northwest,WestSouthwest1,West,Southwest
WestPacific5,West,Pacific,WestSouthwest3,West,Southwest
WestPacific4,West,Pacific,EastAtlantic4,East,Atlantic
EastAtlantic1,East,Atlantic,EastSoutheast4,East,Southeast
EastAtlantic5,East,Atlantic,EastCentral5,East,Central
EastCentral1,East,Central,WestNorthwest4,West,Northwest
WestNorthwest2,West,Northwest,WestPacific3,West,Pacific
EastCentral2,East,Central,WestNorthwest4,West,Northwest
EastAtlantic3,East,Atlantic,WestSouthwest5,West,Southwest
WestPacific4,West,Pacific,EastSoutheast1,East,Southeast
WestPacific5,West,Pacific,EastSoutheast2,East,Southeast
WestPacific2,West,Pacific,WestSouthwest3,West,Southwest
EastSoutheast4,East,Southeast,WestSouthwest2,West,Southwest
EastAtlantic4,East,Atlantic,WestSouthwest5,West,Southwest
EastSoutheast5,East,Southeast,EastAtlantic3,East,Atlantic
EastAtlantic1,East,Atlantic,WestNorthwest2,West,Northwest
EastSoutheast3,East,Southeast,EastCentral3,East,Central
EastAtlantic2,East,Atlantic,EastCentral2,East,Central
EastCentral1,East,Central,EastAtlantic5,East,Atlantic
EastCentral5,East,Central,EastCentral4,East,Central
WestSouthwest1,West,Southwest,WestPacific1,West,Pacific
WestNorthwest1,West,Northwest,WestPacific4,West,Pacific
WestNorthwest5,West,Northwest,WestSouthwest4,West,Southwest
WestPacific3,West,Pacific,WestNorthwest3,West,Northwest
WestSouthwest2,West,Southwest,WestPacific1,West,Pacific
WestPacific2,West,Pacific,WestNorthwest3,West,Northwest
EastSoutheast3,East,Southeast,EastAtlantic3,East,Atlantic
EastAtlantic4,East,Atlantic,EastCentral3,East,Central
EastAtlantic2,East,Atlantic,WestNorthwest2,West,Northwest
EastCentral5,East,Central,EastAtlantic5,East,Atlantic
WestSouthwest1,West,Southwest,EastCentral1,East,Central
WestSouthwest5,West,Southwest,WestPacific4,West,Pacific
WestNorthwest1,West,Northwest,WestNorthwest5,West,Northwest
WestSouthwest3,West,Southwest,EastSoutheast5,East,Southeast
WestNorthwest4,West,Northwest,EastSoutheast1,East,Southeast
WestPacific3,West,Pacific,EastSoutheast2,East,Southeast
WestPacific2,West,Pacific,WestPacific1,West,Pacific
EastAtlantic1,East,Atlantic,EastAtlantic2,East,Atlantic
EastCentral3,East,Central,WestSouthwest2,West,Southwest
EastCentral4,East,Central,EastCentral1,East,Central
EastSoutheast4,East,Southeast,EastCentral2,East,Central
EastSoutheast5,East,Southeast,EastCentral5,East,Central
WestNorthwest2,West,Northwest,WestSouthwest4,West,Southwest
WestPacific5,West,Pacific,WestNorthwest1,West,Northwest
EastSoutheast3,East,Southeast,WestNorthwest5,West,Northwest
WestSouthwest1,West,Southwest,EastAtlantic3,East,Atlantic
WestPacific4,West,Pacific,WestNorthwest3,West,Northwest
WestNorthwest4,West,Northwest,WestSouthwest5,West,Southwest
WestPacific3,West,Pacific,EastSoutheast1,East,Southeast
EastCentral4,East,Central,EastCentral5,East,Central
EastAtlantic1,East,Atlantic,EastAtlantic5,East,Atlantic
EastCentral1,East,Central,WestSouthwest2,West,Southwest
WestNorthwest2,West,Northwest,EastCentral2,East,Central
WestSouthwest4,West,Southwest,EastCentral3,East,Central
WestPacific5,West,Pacific,WestSouthwest5,West,Southwest
WestPacific1,West,Pacific,WestNorthwest1,West,Northwest
WestPacific2,West,Pacific,EastSoutheast1,East,Southeast
EastAtlantic5,East,Atlantic,EastSoutheast3,East,Southeast
WestNorthwest3,West,Northwest,WestNorthwest4,West,Northwest
WestSouthwest1,West,Southwest,EastSoutheast4,East,Southeast
WestPacific3,West,Pacific,WestPacific5,West,Pacific
EastSoutheast2,East,Southeast,WestSouthwest1,West,Southwest
EastCentral4,East,Central,EastSoutheast3,East,Southeast
EastSoutheast5,East,Southeast,WestNorthwest5,West,Northwest
EastAtlantic1,East,Atlantic,EastCentral3,East,Central
EastAtlantic3,East,Atlantic,EastCentral1,East,Central
WestSouthwest2,West,Southwest,WestNorthwest4,West,Northwest
WestSouthwest3,West,Southwest,WestSouthwest4,West,Southwest
EastCentral5,East,Central,EastSoutheast4,East,Southeast
WestNorthwest2,West,Northwest,WestNorthwest3,West,Northwest
WestNorthwest1,West,Northwest,EastSoutheast1,East,Southeast
WestPacific1,West,Pacific,WestPacific2,West,Pacific
EastAtlantic4,East,Atlantic,EastAtlantic2,East,Atlantic
EastAtlantic5,East,Atlantic,EastCentral2,East,Central
WestPacific5,West,Pacific,WestPacific2,West,Pacific
WestPacific3,West,Pacific,WestSouthwest5,West,Southwest
EastSoutheast2,East,Southeast,WestNorthwest5,West,Northwest
EastCentral4,East,Central,EastCentral2,East,Central
EastSoutheast5,East,Southeast,EastSoutheast4,East,Southeast
EastSoutheast1,East,Southeast,EastAtlantic1,East,Atlantic
EastCentral5,East,Central,WestPacific1,West,Pacific
WestNorthwest2,West,Northwest,EastAtlantic3,East,Atlantic
WestSouthwest4,West,Southwest,WestNorthwest4,West,Northwest
WestNorthwest1,West,Northwest,WestSouthwest3,West,Southwest
WestPacific4,West,Pacific,WestSouthwest2,West,Southwest
WestSouthwest1,West,Southwest,WestPacific3,West,Pacific
WestPacific2,West,Pacific,WestPacific5,West,Pacific
EastSoutheast2,East,Southeast,WestNorthwest3,West,Northwest
EastSoutheast5,East,Southeast,EastAtlantic1,East,Atlantic
EastAtlantic5,East,Atlantic,WestPacific1,West,Pacific
EastCentral1,East,Central,EastCentral3,East,Central
WestSouthwest5,West,Southwest,WestNorthwest1,West,Northwest
EastSoutheast3,East,Southeast,EastCentral5,East,Central
EastAtlantic3,East,Atlantic,WestSouthwest4,West,Southwest
WestPacific4,West,Pacific,EastCentral4,East,Central
WestNorthwest2,West,Northwest,WestNorthwest4,West,Northwest
EastAtlantic4,East,Atlantic,EastAtlantic5,East,Atlantic
EastSoutheast5,East,Southeast,EastCentral5,East,Central
EastSoutheast1,East,Southeast,WestSouthwest5,West,Southwest
EastAtlantic1,East,Atlantic,EastAtlantic3,East,Atlantic
WestNorthwest3,West,Northwest,WestPacific5,West,Pacific
EastCentral1,East,Central,EastSoutheast3,East,Southeast
WestSouthwest3,West,Southwest,WestPacific3,West,Pacific
EastCentral2,East,Central,WestPacific1,West,Pacific
WestNorthwest5,West,Northwest,EastCentral4,East,Central
WestPacific2,West,Pacific,WestSouthwest2,West,Southwest
EastCentral3,East,Central,EastSoutheast2,East,Southeast
EastSoutheast4,East,Southeast,WestNorthwest2,West,Northwest
EastAtlantic2,East,Atlantic,WestSouthwest4,West,Southwest
WestNorthwest1,West,Northwest,WestSouthwest1,West,Southwest
WestNorthwest4,West,Northwest,WestPacific4,West,Pacific
EastSoutheast2,East,Southeast,EastSoutheast5,East,Southeast
EastSoutheast1,East,Southeast,WestSouthwest4,West,Southwest
EastAtlantic1,East,Atlantic,WestSouthwest5,West,Southwest
EastAtlantic5,East,Atlantic,EastCentral3,East,Central
EastCentral1,East,Central,WestPacific1,West,Pacific
WestSouthwest3,West,Southwest,EastAtlantic3,East,Atlantic
EastCentral5,East,Central,EastSoutheast3,East,Southeast
WestNorthwest3,West,Northwest,WestPacific3,West,Pacific
WestPacific5,West,Pacific,WestNorthwest5,West,Northwest
WestPacific2,West,Pacific,WestNorthwest1,West,Northwest
EastAtlantic2,East,Atlantic,EastAtlantic4,East,Atlantic
EastCentral2,East,Central,EastSoutheast4,East,Southeast
WestSouthwest2,West,Southwest,WestNorthwest2,West,Northwest
WestNorthwest4,West,Northwest,EastCentral4,East,Central
EastAtlantic5,East,Atlantic,WestSouthwest5,West,Southwest
EastAtlantic1,East,Atlantic,EastSoutheast3,East,Southeast
EastCentral3,East,Central,EastSoutheast5,East,Southeast
WestSouthwest3,West,Southwest,WestPacific5,West,Pacific
WestNorthwest1,West,Northwest,WestPacific4,West,Pacific
WestPacific3,West,Pacific,EastCentral4,East,Central
WestNorthwest5,West,Northwest,EastAtlantic3,East,Atlantic
EastCentral2,East,Central,WestNorthwest3,West,Northwest
EastSoutheast1,East,Southeast,EastCentral1,East,Central
EastSoutheast2,East,Southeast,EastSoutheast3,East,Southeast
WestSouthwest4,West,Southwest,WestSouthwest3,West,Southwest
EastAtlantic4,East,Atlantic,EastCentral5,East,Central
WestSouthwest2,West,Southwest,WestPacific1,West,Pacific
WestNorthwest2,West,Northwest,EastAtlantic5,East,Atlantic
WestNorthwest5,West,Northwest,WestPacific2,West,Pacific
WestNorthwest4,West,Northwest,WestSouthwest1,West,Southwest
EastAtlantic2,East,Atlantic,EastSoutheast4,East,Southeast
WestPacific3,West,Pacific,EastAtlantic3,East,Atlantic
EastCentral3,East,Central,EastAtlantic1,East,Atlantic
WestSouthwest5,West,Southwest,EastCentral4,East,Central
EastSoutheast2,East,Southeast,WestPacific5,West,Pacific
EastSoutheast1,East,Southeast,WestNorthwest5,West,Northwest
WestSouthwest2,West,Southwest,EastSoutheast3,East,Southeast
WestSouthwest3,West,Southwest,EastAtlantic4,East,Atlantic
EastCentral5,East,Central,WestPacific4,West,Pacific
WestSouthwest4,West,Southwest,EastCentral1,East,Central
WestSouthwest1,West,Southwest,EastSoutheast5,East,Southeast
WestNorthwest1,West,Northwest,WestNorthwest4,West,Northwest
WestPacific2,West,Pacific,WestNorthwest2,West,Northwest
EastSoutheast4,East,Southeast,WestPacific5,West,Pacific
WestNorthwest3,West,Northwest,EastAtlantic1,East,Atlantic
WestSouthwest5,West,Southwest,EastCentral2,East,Central
WestPacific1,West,Pacific,EastAtlantic3,East,Atlantic
WestPacific3,West,Pacific,EastAtlantic2,East,Atlantic
EastSoutheast2,East,Southeast,WestSouthwest4,West,Southwest
EastCentral3,East,Central,WestNorthwest5,West,Northwest
EastCentral4,East,Central,WestPacific4,West,Pacific
EastAtlantic4,East,Atlantic,EastCentral1,East,Central
EastSoutheast1,East,Southeast,EastAtlantic5,East,Atlantic
WestSouthwest1,West,Southwest,WestSouthwest2,West,Southwest
WestSouthwest3,West,Southwest,WestSouthwest5,West,Southwest
WestNorthwest4,West,Northwest,WestNorthwest2,West,Northwest
WestPacific2,West,Pacific,EastAtlantic2,East,Atlantic
EastSoutheast3,East,Southeast,WestPacific5,West,Pacific
WestNorthwest3,West,Northwest,EastSoutheast5,East,Southeast
WestNorthwest1,West,Northwest,EastAtlantic3,East,Atlantic
WestPacific1,West,Pacific,WestNorthwest2,West,Northwest
EastSoutheast2,East,Southeast,EastSoutheast1,East,Southeast
EastCentral2,East,Central,EastCentral4,East,Central
EastAtlantic5,East,Atlantic,WestNorthwest5,West,Northwest
EastCentral1,East,Central,WestPacific3,West,Pacific
WestSouthwest3,West,Southwest,WestPacific2,West,Pacific
EastCentral5,East,Central,EastAtlantic1,East,Atlantic
WestSouthwest4,West,Southwest,WestSouthwest2,West,Southwest
WestSouthwest1,West,Southwest,WestNorthwest4,West,Northwest
WestSouthwest5,West,Southwest,EastAtlantic4,East,Atlantic
WestPacific4,West,Pacific,EastAtlantic3,East,Atlantic
EastCentral3,East,Central,WestNorthwest3,West,Northwest
EastCentral4,East,Central,EastSoutheast4,East,Southeast
EastSoutheast1,East,Southeast,EastSoutheast5,East,Southeast
EastSoutheast3,East,Southeast,EastSoutheast2,East,Southeast
WestPacific1,West,Pacific,EastAtlantic2,East,Atlantic
WestNorthwest1,West,Northwest,WestSouthwest1,West,Southwest
WestNorthwest2,West,Northwest,EastAtlantic1,East,Atlantic
EastCentral1,East,Central,EastCentral5,East,Central
WestSouthwest2,West,Southwest,WestPacific4,West,Pacific
WestSouthwest4,West,Southwest,WestPacific2,West,Pacific
EastCentral2,East,Central,EastCentral3,East,Central
WestNorthwest3,West,Northwest,EastAtlantic4,East,Atlantic
EastAtlantic5,East,Atlantic,WestPacific3,West,Pacific
WestSouthwest5,West,Southwest,WestPacific5,West,Pacific
EastCentral4,East,Central,EastSoutheast2,East,Southeast
EastSoutheast1,East,Southeast,WestNorthwest2,West,Northwest
WestSouthwest3,West,Southwest,WestPacific4,West,Pacific
EastCentral5,East,Central,EastAtlantic4,East,Atlantic
WestSouthwest1,West,Southwest,EastSoutheast3,East,Southeast
WestNorthwest1,West,Northwest,EastAtlantic2,East,Atlantic
EastSoutheast5,East,Southeast,WestNorthwest3,West,Northwest
EastAtlantic3,East,Atlantic,EastAtlantic1,East,Atlantic
EastAtlantic5,East,Atlantic,WestNorthwest2,West,Northwest
EastCentral3,East,Central,EastCentral2,East,Central
WestSouthwest2,West,Southwest,EastSoutheast4,East,Southeast
WestSouthwest4,West,Southwest,WestPacific5,West,Pacific
WestSouthwest5,West,Southwest,WestNorthwest1,West,Northwest
WestNorthwest5,West,Northwest,WestPacific1,West,Pacific
WestPacific2,West,Pacific,WestNorthwest4,West,Northwest
EastCentral4,East,Central,WestSouthwest3,West,Southwest
EastSoutheast4,East,Southeast,WestPacific3,West,Pacific
EastSoutheast1,East,Southeast,EastSoutheast2,East,Southeast
EastAtlantic1,East,Atlantic,EastAtlantic4,East,Atlantic
EastCentral2,East,Central,EastSoutheast3,East,Southeast
EastAtlantic2,East,Atlantic,EastAtlantic3,East,Atlantic
WestNorthwest4,West,Northwest,EastCentral1,East,Central
WestPacific4,West,Pacific,WestSouthwest1,West,Southwest
EastCentral3,East,Central,WestSouthwest3,West,Southwest
EastSoutheast5,East,Southeast,EastAtlantic5,East,Atlantic
WestNorthwest2,West,Northwest,EastCentral5,East,Central
WestSouthwest5,West,Southwest,WestSouthwest2,West,Southwest
WestNorthwest1,West,Northwest,WestNorthwest3,West,Northwest
EastSoutheast2,East,Southeast,EastCentral4,East,Central
EastAtlantic2,East,Atlantic,EastSoutheast1,East,Southeast
EastAtlantic1,East,Atlantic,WestPacific3,West,Pacific
EastAtlantic5,East,Atlantic,WestNorthwest4,West,Northwest
EastCentral5,East,Central,EastAtlantic3,East,Atlantic
EastAtlantic4,East,Atlantic,EastSoutheast3,East,Southeast
WestNorthwest3,West,Northwest,WestSouthwest4,West,Southwest
WestPacific4,West,Pacific,WestNorthwest5,West,Northwest
WestPacific5,West,Pacific,WestPacific1,West,Pacific
WestPacific2,West,Pacific,EastCentral1,East,Central
EastCentral3,East,Central,EastSoutheast3,East,Southeast
EastCentral4,East,Central,EastAtlantic4,East,Atlantic
EastSoutheast4,East,Southeast,EastSoutheast5,East,Southeast
EastCentral2,East,Central,WestSouthwest2,West,Southwest
WestNorthwest1,West,Northwest,WestPacific1,West,Pacific
WestNorthwest2,West,Northwest,WestSouthwest4,West,Southwest
WestSouthwest5,West,Southwest,WestNorthwest5,West,Northwest
WestPacific5,West,Pacific,WestSouthwest1,West,Southwest
WestNorthwest3,West,Northwest,WestPacific3,West,Pacific
WestPacific4,West,Pacific,EastSoutheast2,East,Southeast
EastAtlantic2,East,Atlantic,WestNorthwest4,West,Northwest
EastAtlantic1,East,Atlantic,EastCentral5,East,Central
EastAtlantic3,East,Atlantic,EastSoutheast1,East,Southeast
EastAtlantic5,East,Atlantic,WestSouthwest3,West,Southwest
EastCentral3,East,Central,WestNorthwest4,West,Northwest
EastCentral4,East,Central,EastSoutheast5,East,Southeast
EastSoutheast3,East,Southeast,EastSoutheast4,East,Southeast
WestSouthwest4,West,Southwest,WestNorthwest5,West,Northwest
WestNorthwest1,West,Northwest,EastSoutheast2,East,Southeast
WestPacific5,West,Pacific,EastCentral1,East,Central
WestPacific2,West,Pacific,WestSouthwest1,West,Southwest
EastSoutheast4,East,Southeast,EastCentral2,East,Central
EastSoutheast1,East,Southeast,WestSouthwest3,West,Southwest
EastAtlantic1,East,Atlantic,WestSouthwest2,West,Southwest
EastAtlantic3,East,Atlantic,EastCentral5,East,Central
EastAtlantic5,East,Atlantic,EastAtlantic2,East,Atlantic
EastAtlantic4,East,Atlantic,EastSoutheast5,East,Southeast
WestPacific1,West,Pacific,WestNorthwest3,West,Northwest
WestPacific3,West,Pacific,WestPacific4,West,Pacific
EastCentral3,East,Central,EastAtlantic1,East,Atlantic
EastSoutheast3,East,Southeast,WestSouthwest2,West,Southwest
EastCentral2,East,Central,WestNorthwest2,West,Northwest
WestSouthwest3,West,Southwest,WestNorthwest5,West,Northwest
WestPacific4,West,Pacific,WestSouthwest5,West,Southwest
EastSoutheast4,East,Southeast,EastSoutheast1,East,Southeast
EastAtlantic5,East,Atlantic,EastAtlantic3,East,Atlantic
EastSoutheast5,East,Southeast,EastAtlantic2,East,Atlantic
WestNorthwest4,West,Northwest,EastSoutheast2,East,Southeast
WestPacific1,West,Pacific,WestSouthwest1,West,Southwest
WestPacific3,West,Pacific,WestNorthwest3,West,Northwest
EastCentral3,East,Central,WestPacific2,West,Pacific
EastAtlantic4,East,Atlantic,WestSouthwest4,West,Southwest
EastSoutheast1,East,Southeast,EastCentral2,East,Central
EastAtlantic2,East,Atlantic,EastCentral4,East,Central
